id,segment,name,status,end_date,start_date,budget,spend
915,New Signups (Last 30 Days),Getting Started Journey,Completed,7/31/2025,3/26/2025,88775,92490
916,New Signups (Last 30 Days),Getting Started Journey,Scheduled,12/6/2025,8/24/2025,20517,20478
917,Churn Risk,We Miss You,Active,4/19/2025,1/1/2025,20668,18902
918,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,6/10/2025,4/20/2025,13899,10413
919,New Signups (Last 30 Days),Getting Started Journey,Completed,10/29/2025,3/20/2025,28538,24404
920,New Signups (Last 30 Days),Getting Started Journey,Completed,4/3/2025,6/30/2025,26551,25101
921,Churn Risk,We Miss You,Scheduled,8/10/2025,11/10/2025,20031,16817
922,Inactive > 90 Days,Come-Back Offer,Active,10/30/2025,9/26/2025,34076,24207
923,Churn Risk,Loyalty Reminder,Scheduled,8/27/2025,9/20/2025,67851,62622
924,High CLV Customers,Exclusive Member Upgrade,Scheduled,2/28/2025,1/6/2025,17264,16738
925,Inactive > 90 Days,Deep Winback,Completed,1/2/2025,10/12/2025,25189,25735
926,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,6/16/2025,3/20/2025,87348,64781
927,High CLV Customers,End-of-Year Upsell,Scheduled,2/17/2025,5/1/2025,22407,21775
928,New Signups (Last 30 Days),New Signup Nurture,Completed,7/26/2025,3/30/2025,30245,26404
929,New Signups (Last 30 Days),Welcome Series – Step 2,Active,6/14/2025,6/14/2025,1952,1879
930,Inactive > 90 Days,Inactivity Reactivation Flow,Active,1/10/2025,12/21/2024,43581,44923
931,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,8/17/2025,9/20/2025,71041,54075
932,Churn Risk,Loyalty Reminder,Active,7/31/2025,2/7/2025,45267,36921
933,Churn Risk,We Miss You,Scheduled,8/20/2025,10/9/2025,85849,68475
934,New Signups (Last 30 Days),Welcome Series – Step 1,Scheduled,10/27/2025,9/18/2025,98859,71772
935,Churn Risk,We Miss You,Completed,4/16/2025,1/4/2025,78808,64629
936,Inactive > 90 Days,Come-Back Offer,Scheduled,5/17/2025,2/26/2025,2147,2110
937,Churn Risk,We Miss You,Completed,4/18/2025,1/26/2025,95257,97170
938,Churn Risk,Winback Flow,Active,12/8/2025,10/23/2025,72684,71741
939,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,5/4/2025,4/2/2025,50644,41763
940,Churn Risk,Loyalty Reminder,Active,1/4/2025,4/12/2025,72228,69020
941,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,5/3/2025,2/15/2025,85671,81866
942,Churn Risk,Winback Flow,Scheduled,2/12/2025,6/14/2025,21729,15783
943,Churn Risk,Winback Flow,Scheduled,4/4/2025,10/6/2025,24272,22909
944,High CLV Customers,Premium Features Upsell,Active,11/25/2025,11/16/2025,29809,30844
945,High CLV Customers,End-of-Year Upsell,Completed,4/6/2025,10/20/2025,47413,46444
946,New Signups (Last 30 Days),New Signup Nurture,Scheduled,9/1/2025,9/13/2025,49587,43596
947,High CLV Customers,End-of-Year Upsell,Scheduled,1/4/2025,10/28/2025,2444,1835
948,New Signups (Last 30 Days),New Signup Nurture,Completed,7/19/2025,3/24/2025,32980,31331
949,New Signups (Last 30 Days),Getting Started Journey,Active,1/19/2025,6/3/2025,49800,37130
950,Inactive > 90 Days,Come-Back Offer,Active,3/16/2025,8/13/2025,39386,37971
951,High CLV Customers,Premium Features Upsell,Active,11/9/2025,10/15/2025,22321,18699
952,Churn Risk,Reactivation Journey,Completed,5/23/2025,6/23/2025,97673,89940
953,High CLV Customers,End-of-Year Upsell,Completed,8/18/2025,7/21/2025,20764,17593
954,Churn Risk,Winback Flow,Active,6/29/2025,3/3/2025,16881,17360
955,Churn Risk,Loyalty Reminder,Active,10/6/2025,1/11/2025,14918,11927
956,Churn Risk,We Miss You,Scheduled,6/29/2025,12/5/2025,92051,84047
957,New Signups (Last 30 Days),Getting Started Journey,Active,2/6/2025,9/27/2025,29206,24111
958,High CLV Customers,Premium Features Upsell,Completed,4/29/2025,8/21/2025,44209,31737
959,High CLV Customers,End-of-Year Upsell,Completed,12/16/2024,1/27/2025,31432,25185
960,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,10/13/2025,9/16/2025,88032,78401
961,Churn Risk,We Miss You,Completed,8/15/2025,10/16/2025,53201,54298
962,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,6/11/2025,2/26/2025,99474,102229
963,Inactive > 90 Days,Come-Back Offer,Scheduled,1/16/2025,9/25/2025,33209,27009
964,Churn Risk,We Miss You,Scheduled,3/7/2025,10/27/2025,97896,100325
965,New Signups (Last 30 Days),Welcome Series – Step 1,Active,8/29/2025,9/28/2025,90998,72718
966,High CLV Customers,Premium Features Upsell,Active,1/6/2025,12/13/2024,48102,48169
967,Churn Risk,We Miss You,Active,2/17/2025,1/26/2025,69902,76217
968,Inactive > 90 Days,Deep Winback,Scheduled,8/14/2025,8/29/2025,23557,19158
969,New Signups (Last 30 Days),Getting Started Journey,Completed,4/6/2025,4/8/2025,46263,36872
970,Churn Risk,Winback Flow,Scheduled,4/27/2025,10/26/2025,27437,22284
971,New Signups (Last 30 Days),Getting Started Journey,Active,3/25/2025,5/28/2025,71119,54994
972,Inactive > 90 Days,Deep Winback,Scheduled,3/2/2025,4/3/2025,22808,16481
973,Churn Risk,Loyalty Reminder,Completed,11/13/2025,4/3/2025,41803,37307
974,New Signups (Last 30 Days),Welcome Series – Step 1,Active,7/30/2025,8/6/2025,32666,26294
975,High CLV Customers,End-of-Year Upsell,Completed,4/13/2025,2/28/2025,46240,41260
976,High CLV Customers,VIP Rewards,Completed,6/29/2025,7/27/2025,1980,1862
977,Inactive > 90 Days,Deep Winback,Active,11/18/2025,3/22/2025,77023,84453
978,New Signups (Last 30 Days),New Signup Nurture,Scheduled,7/7/2025,8/9/2025,34307,31208
979,Inactive > 90 Days,Inactivity Reactivation Flow,Active,8/28/2025,2/1/2025,64263,69053
980,New Signups (Last 30 Days),Getting Started Journey,Completed,3/11/2025,2/16/2025,73256,74482
981,Churn Risk,Winback Flow,Scheduled,3/14/2025,10/17/2025,4141,3205
982,New Signups (Last 30 Days),New Signup Nurture,Scheduled,4/21/2025,1/10/2025,70639,72994
983,High CLV Customers,VIP Rewards,Completed,9/13/2025,6/24/2025,60030,64211
984,Churn Risk,Reactivation Journey,Active,11/16/2025,10/4/2025,70925,65206
985,Churn Risk,Loyalty Reminder,Completed,10/17/2025,10/30/2025,19079,18071
986,Churn Risk,Reactivation Journey,Active,10/6/2025,5/24/2025,80207,69589
987,Churn Risk,We Miss You,Active,11/23/2025,9/5/2025,49343,35946
988,Inactive > 90 Days,Deep Winback,Completed,4/17/2025,2/9/2025,99195,96525
989,Inactive > 90 Days,Come-Back Offer,Completed,8/26/2025,9/15/2025,15571,15673
990,Inactive > 90 Days,Inactivity Reactivation Flow,Active,3/8/2025,6/27/2025,70936,51880
991,High CLV Customers,Exclusive Member Upgrade,Completed,10/21/2025,3/7/2025,55646,53996
992,Churn Risk,Loyalty Reminder,Scheduled,4/7/2025,9/17/2025,1584,1641
993,Inactive > 90 Days,Deep Winback,Scheduled,3/12/2025,10/6/2025,48481,51669
994,High CLV Customers,Exclusive Member Upgrade,Active,11/10/2025,1/13/2025,48477,39073
995,Churn Risk,Loyalty Reminder,Active,7/26/2025,7/1/2025,19906,19676
996,Churn Risk,Reactivation Journey,Active,6/1/2025,4/28/2025,76712,81721
997,Inactive > 90 Days,Deep Winback,Scheduled,4/1/2025,7/13/2025,79576,55814
998,High CLV Customers,Exclusive Member Upgrade,Completed,11/16/2025,6/23/2025,77774,62899
999,New Signups (Last 30 Days),Welcome Series – Step 1,Scheduled,11/27/2025,12/25/2024,61712,53022
1000,Inactive > 90 Days,Come-Back Offer,Scheduled,12/8/2025,2/28/2025,13475,10804
